date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:05	371760/371760	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:13:00%20GMT	https://accounts.google.com/SignUpWithoutGmail?dsh=-2935057659775647752&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/SignUpWithoutGmail5636.html	(from https://accounts.google.com/SignUp?hl=id)
13:13:06	52371/52371	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:13:02%20GMT	https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/signin/usernamerecoveryfbcf.html	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591)
13:13:07	311/311	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2016%20Mar%202021%2006:13:03%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591	C:/Users/User/Downloads/Compressed/google/accounts.google.com/AccountChooser.3300be.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591)
13:13:07	77213/77213	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:13:03%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&sacu=1&rip=1	C:/Users/User/Downloads/Compressed/google/accounts.google.com/ServiceLoginb8f8.html	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591)
13:13:08	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.36c7d4.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591)
13:13:08	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.378e05.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591)
13:13:09	372682/372682	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:13:04%20GMT	https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1	C:/Users/User/Downloads/Compressed/google/accounts.google.com/SignUpb407.html	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591)
13:13:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.3a8e05.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-31402213622443591&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.3bc7d4.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-31402213622443591&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.3c8e05.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-31402213622443591&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:11	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.3dc7d4.delayed	(from https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1)
13:13:11	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.3e8e05.delayed	(from https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1)
13:13:12	371524/371524	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:13:05%20GMT	https://accounts.google.com/SignUpWithoutGmail?hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/SignUpWithoutGmail0cf2.html	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-31402213622443591&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
